資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-006-01	世俗諺文_天理大学図書館	2676	1640	片	片	片玉	片玉			1		去	去＊	ヘン	ヘン＊					13407	
30-006-01	世俗諺文_天理大学図書館	2677	1641	詞	詞	詞場	詞場			1		平	平平							13407	
30-006-01	世俗諺文_天理大学図書館	2678	1641	場	場	詞場	詞場			2		平	平平							13407	
30-006-01	世俗諺文_天理大学図書館	2679	1642	鳥	鳥	鳥迹	鳥迹			1		上	上入軽							13408	
30-006-01	世俗諺文_天理大学図書館	2680	1642	迹	迹	鳥迹	鳥迹			2		入軽	上入軽							13408	
30-006-01	世俗諺文_天理大学図書館	2681	1643	衞	衛	衞恆	衛恒			1		去	去平	ヱイ	ヱイコウ					13501	
30-006-01	世俗諺文_天理大学図書館	2682	1643	恆	恒	衞恆	衛恒			2		平	去平	コウ	ヱイコウ					13501	
30-006-01	世俗諺文_天理大学図書館	2683	1644	怛	怛	怛誦	怛誦			1		入軽	入軽上	タツ	タツシヨウ					13501	
30-006-01	世俗諺文_天理大学図書館	2684	1644	誦	誦	怛誦	怛誦			2		上	入軽上	シヨウ	タツシヨウ					13501	
30-006-01	世俗諺文_天理大学図書館	2685	1645	蒼	蒼	蒼頡	蒼頡			1		平軽	平軽入	サウ	サウケツ					13501	
30-006-01	世俗諺文_天理大学図書館	2686	1645	頡	頡	蒼頡	蒼頡			2		入	平軽入	ケツ	サウケツ					13501	
30-006-01	世俗諺文_天理大学図書館	2687	1646	書	書	書契	書契			1		平軽	平軽上							13501	
30-006-01	世俗諺文_天理大学図書館	2688	1646	契	契	書契	書契			2		上	平軽上							13501	
30-006-01	世俗諺文_天理大学図書館	2689	1647	文	文	文	文			1		平濁	平濁							13502	
30-006-01	世俗諺文_天理大学図書館	2690	1648	秦	秦	秦	秦			1		平	平							13503	
30-006-01	世俗諺文_天理大学図書館	2691	1649	篆	篆	篆書	篆書			1		去	去平軽	テン	テン＊					13503	
30-006-01	世俗諺文_天理大学図書館	2692	1649	書	書	篆書	篆書			2		平軽	去平軽		テン＊					13503	
30-006-01	世俗諺文_天理大学図書館	2693	1650	光	光	光典	光典			1		平	平上							13503	
30-006-01	世俗諺文_天理大学図書館	2694	1650	典	典	光典	光典			2		上	平上							13503	
30-006-01	世俗諺文_天理大学図書館	2695	1651	草	草	草聖	草聖			1		上	上去							13504	
30-006-01	世俗諺文_天理大学図書館	2696	1651	聖	聖	草聖	草聖			2		去	上去							13504	
30-006-01	世俗諺文_天理大学図書館	2697	1652	張	張	張芝	張芝			1		平	平平		＊シ					13505	
30-006-01	世俗諺文_天理大学図書館	2698	1652	芝	芝	張芝	張芝			2		平	平平	シ	＊シ					13505	
30-006-01	世俗諺文_天理大学図書館	2699	1653	伯	伯	伯英	伯英			1		入	入平	ハイ	ハイエイ					13505	ハクの誤写か
30-006-01	世俗諺文_天理大学図書館	2700	1653	英	英	伯英	伯英			2		平	入平	エイ	ハイエイ					13505	
30-006-01	世俗諺文_天理大学図書館	2701	1654	草	草	草書	草書			1		上	上＊							13505	
30-006-01	世俗諺文_天理大学図書館	2702	1655	絶	絶	絶妙	絶妙			1		入軽	入軽去濁							13505	
