資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
30-006-01	世俗諺文_天理大学図書館	670	404	劉	劉	劉子	劉子			1		平	平上							3504	
30-006-01	世俗諺文_天理大学図書館	671	404	子	子	劉子	劉子			2		上	平上							3504	
30-006-01	世俗諺文_天理大学図書館	672	405	傑	傑	傑紂	傑紂			1				ケツ	ケツチウ					3504	「桀」の意か
30-006-01	世俗諺文_天理大学図書館	673	405	紂	紂	傑紂	傑紂			2				チウ	ケツチウ					3504	
30-006-01	世俗諺文_天理大学図書館	674	406	比	比	比屋	比屋			1		去	去入軽	ヒ	ヒ＊					3504	
30-006-01	世俗諺文_天理大学図書館	675	406	屋	屋	比屋	比屋			2		入軽	去入軽		ヒ＊					3504	
30-006-01	世俗諺文_天理大学図書館	676	407	茅	茅	茅茨	茅茨			1		平濁	平濁平	ハウ	ハウシ					3505	
30-006-01	世俗諺文_天理大学図書館	677	407	茨	茨	茅茨	茅茨			2		平	平濁平	シ	ハウシ					3505	
30-006-01	世俗諺文_天理大学図書館	678	408	墨	墨	墨子	墨子			1		入	入平	モク	モク＊					3506	別筆で｢ホク也」と
30-006-01	世俗諺文_天理大学図書館	679	408	子	子	墨子	墨子			2		平	入平		モク＊					3506	
30-006-01	世俗諺文_天理大学図書館	680	409	采	采	采椽	采椽			1		上	上平	サイ	サイテン					3506	
30-006-01	世俗諺文_天理大学図書館	681	409	椽	椽	采椽	采椽			2		平	上平	テン	サイテン					3506	
30-006-01	世俗諺文_天理大学図書館	682	410	張	張	張平子	張平子			1		平	平平上							3507	
30-006-01	世俗諺文_天理大学図書館	683	410	平	平	張平子	張平子			2		平	平平上							3507	
30-006-01	世俗諺文_天理大学図書館	684	410	子	子	張平子	張平子			3		上	平平上							3507	
30-006-01	世俗諺文_天理大学図書館	685	411	唐	唐	唐虞	唐虞			1		平	平平濁							3507	
30-006-01	世俗諺文_天理大学図書館	686	411	虞	虞	唐虞	唐虞			2		平濁	平平濁							3507	
30-006-01	世俗諺文_天理大学図書館	687	412	夏	夏	夏后	夏后			1		去	去去							3507	
30-006-01	世俗諺文_天理大学図書館	688	412	后	后	夏后	夏后			2		去	去去							3507	
30-006-01	世俗諺文_天理大学図書館	689	413	卑	卑	卑室	卑室			1		去	去入軽							3508	
30-006-01	世俗諺文_天理大学図書館	690	413	室	室	卑室	卑室			2		入軽	去入軽							3508	
30-006-01	世俗諺文_天理大学図書館	691	414	李	李	李善	李善			1		去	去去							3508	
30-006-01	世俗諺文_天理大学図書館	692	414	善	善	李善	李善			2		去	去去							3508	
30-006-01	世俗諺文_天理大学図書館	693	415	説	説	説文	説文			1		入軽	入軽上濁							3508	
30-006-01	世俗諺文_天理大学図書館	694	415	文	文	説文	説文			2		上濁	入軽上濁							3508	
30-006-01	世俗諺文_天理大学図書館	695	416	禮	礼	禮記	礼記			1		平	平平	ライ	ライ＊					3602	
30-006-01	世俗諺文_天理大学図書館	696	416	記	記	禮記	礼記			2		平	平平		ライ＊					3602	
30-006-01	世俗諺文_天理大学図書館	697	417	鄭	鄭	鄭玄	鄭玄			1		去	去平							3602	
30-006-01	世俗諺文_天理大学図書館	698	417	玄	玄	鄭玄	鄭玄			2		平	去平							3602	
30-006-01	世俗諺文_天理大学図書館	699	418	曹	曹	曹子建	曹子建			1		平	平上去	サウ	サウシケン					3605	
30-006-01	世俗諺文_天理大学図書館	700	418	子	子	曹子建	曹子建			2		上	平上去	シ	サウシケン					3605	
30-006-01	世俗諺文_天理大学図書館	701	418	建	建	曹子建	曹子建			3		去	平上去	ケン	サウシケン					3605	
30-006-01	世俗諺文_天理大学図書館	702	419	表	表	表	表			1		上	上							3605	
30-006-01	世俗諺文_天理大学図書館	703	420	尭	尭	尭	尭			1		平濁	平濁							3605	
30-006-01	世俗諺文_天理大学図書館	704	421	教	教	教	教			1		去	去							3605	
30-006-01	世俗諺文_天理大学図書館	705	422	尅	尅	尅明	尅明			1				ヨク	ヨク＊					3606	コクを二度書きしたか
30-006-01	世俗諺文_天理大学図書館	706	423	_	_	_徳	_徳			1		去	去入	シユン	シユン＊					3606	
30-006-01	世俗諺文_天理大学図書館	707	423	徳	徳	_徳	_徳			2		入	去入		シユン＊					3606	
30-006-01	世俗諺文_天理大学図書館	708	424	親	親	親	親ス			1		平	平							3606	
30-006-01	世俗諺文_天理大学図書館	709	425	九	九	九族	九族			1		上	上入軽							3606	
30-006-01	世俗諺文_天理大学図書館	710	425	族	族	九族	九族			2		入軽	上入軽							3606	
30-006-01	世俗諺文_天理大学図書館	711	426	章	章	平章	平章			2		平	＊平							3607	
30-006-01	世俗諺文_天理大学図書館	712	427	典	典	尭典	尭典			2		上	＊上							3607	
30-006-01	世俗諺文_天理大学図書館	713	428	弛	弛	弛張	弛張			1		去	去平	シ	シ＊					3608	
30-006-01	世俗諺文_天理大学図書館	714	428	張	張	弛張	弛張			2		平	去平		シ＊					3608	
30-006-01	世俗諺文_天理大学図書館	715	429	弛	弛	弛張	弛張			1		去	去平	シ	シ＊					3609	
30-006-01	世俗諺文_天理大学図書館	716	429	張	張	弛張	弛張			2		平	去平		シ＊					3609	
30-006-01	世俗諺文_天理大学図書館	717	430	沿	沿	沿革	沿革			1		平	平入	エン	エンカク					3609	
30-006-01	世俗諺文_天理大学図書館	718	430	革	革	沿革	沿革			2		入	平入	カク	エンカク					3609	
30-006-01	世俗諺文_天理大学図書館	719	431	釼	釼	釼戟	釼戟			1		上濁	上濁入軽		＊ケキ					3701	
30-006-01	世俗諺文_天理大学図書館	720	431	戟	戟	釼戟	釼戟			2		入軽	上濁入軽	ケキ	＊ケキ					3701	
30-006-01	世俗諺文_天理大学図書館	721	432	農	農	農器	農器			1		平	平去							3701	
30-006-01	世俗諺文_天理大学図書館	722	432	器	器	農器	農器			2		去	平去							3701	
30-006-01	世俗諺文_天理大学図書館	723	433	家	家	家語	家語			1		去	去平濁							3702	
30-006-01	世俗諺文_天理大学図書館	724	433	語	語	家語	家語			2		平濁	去平濁							3702	
30-006-01	世俗諺文_天理大学図書館	725	434	魯	魯	魯	魯			1		去	去	ロ	ロ					3702	
30-006-01	世俗諺文_天理大学図書館	726	435	莱	莱	莱山	莱山			1		平	平平	ライ	ライセ					3702	
30-006-01	世俗諺文_天理大学図書館	727	435	山	山	莱山	莱山			2		平	平平	セ	ライセ					3702	
30-006-01	世俗諺文_天理大学図書館	728	436	顔	顔	顔回	顔回			1		平濁	平濁平	カン	カンクワイ					3702	
30-006-01	世俗諺文_天理大学図書館	729	436	回	回	顔回	顔回			2		平	平濁平	クワイ	カンクワイ					3703	
30-006-01	世俗諺文_天理大学図書館	730	437	得	得	得失	得失			1		入軽	入軽入軽							3704	
30-006-01	世俗諺文_天理大学図書館	731	437	失	失	得失	得失			2		入軽	入軽入軽							3704	
30-006-01	世俗諺文_天理大学図書館	732	438	子	子	子	子			1		上	上							3707	
30-006-01	世俗諺文_天理大学図書館	733	439	徳	徳	徳	徳			1		入	入							3707	
30-006-01	世俗諺文_天理大学図書館	734	440	丹	丹	丹丘	丹丘			1		平	平平軽							3803	
30-006-01	世俗諺文_天理大学図書館	735	440	丘	丘	丹丘	丹丘			2		平軽	平平軽							3803	
30-006-01	世俗諺文_天理大学図書館	736	441	周	周	周易	周易			1		去	去入		＊ヤク					3804	
30-006-01	世俗諺文_天理大学図書館	737	441	易	易	周易	周易			2		入	去入	ヤク	＊ヤク					3804	
30-006-01	世俗諺文_天理大学図書館	738	442	鄭	鄭	鄭	鄭			1		去	去	テイ	テイ					3805	
30-006-01	世俗諺文_天理大学図書館	739	443	子	子	子駟	子駟			1		去	去去							3805	
30-006-01	世俗諺文_天理大学図書館	740	443	駟	駟	子駟	子駟			2		去	去去							3805	
30-006-01	世俗諺文_天理大学図書館	741	444	周	周	周詩	周詩			1		平軽	平軽平							3805	
30-006-01	世俗諺文_天理大学図書館	742	444	詩	詩	周詩	周詩			2		平	平軽平							3805	
30-006-01	世俗諺文_天理大学図書館	743	445	杜	杜	杜預	杜預			1		去	去去	ト	トヨ					3806	
30-006-01	世俗諺文_天理大学図書館	744	445	預	預	杜預	杜預			2		去	去去	ヨ	トヨ					3806	
30-006-01	世俗諺文_天理大学図書館	745	446	逸	逸	逸詩	逸詩			1		入軽	入軽平							3806	
30-006-01	世俗諺文_天理大学図書館	746	446	詩	詩	逸詩	逸詩			2		平	入軽平							3806	
30-006-01	世俗諺文_天理大学図書館	747	447	黄	黄	黄河	黄河			1		平	平平							3807	
30-006-01	世俗諺文_天理大学図書館	748	447	河	河	黄河	黄河			2		平	平平							3807	
30-006-01	世俗諺文_天理大学図書館	749	448	聖	聖	聖人	聖人			1		去	去平濁							3807	
30-006-01	世俗諺文_天理大学図書館	750	448	人	人	聖人	聖人			2		平濁	去平濁							3807	
30-006-01	世俗諺文_天理大学図書館	751	449	李	李	李蕭遠	李蕭遠			1		去	去平上	リ	リセウヱン					3808	
30-006-01	世俗諺文_天理大学図書館	752	449	蕭	蕭	李蕭遠	李蕭遠			2		平	去平上	セウ	リセウヱン					3808	
30-006-01	世俗諺文_天理大学図書館	753	449	遠	遠	李蕭遠	李蕭遠			3		上	去平上	ヱン	リセウヱン					3808	
30-006-01	世俗諺文_天理大学図書館	754	450	運	運	運命論	運命論			1		平	平平＊		＊ミヤウ＊					3808	
30-006-01	世俗諺文_天理大学図書館	755	450	命	命	運命論	運命論			2		平	平平＊	ミヤウ	＊ミヤウ＊					3808	
30-006-01	世俗諺文_天理大学図書館	756	451	李	李	李氏	李氏			1			＊上	リ	リ＊					3808	
30-006-01	世俗諺文_天理大学図書館	757	451	氏	氏	李氏	李氏			2		上	＊上		リ＊					3809	
30-006-01	世俗諺文_天理大学図書館	758	452	易	易	易	易			1		入	入	ク	ク					3809	直前の「云」につけるべきものか。ただしこの字にも「ク」あり
30-006-01	世俗諺文_天理大学図書館	759	453	乾	乾	乾鑿度	乾鑿度			1		平	平入去		＊サク＊					3809	
30-006-01	世俗諺文_天理大学図書館	760	453	鑿	鑿	乾鑿度	乾鑿度			2		入	平入去	サク	＊サク＊					3809	
30-006-01	世俗諺文_天理大学図書館	761	453	度	度	乾鑿度	乾鑿度			3		去	平入去		＊サク＊					3809	
30-006-01	世俗諺文_天理大学図書館	762	454	優	優	優曇華	優曇華			1		去	去上上							3902	
30-006-01	世俗諺文_天理大学図書館	763	454	曇	曇	優曇華	優曇華			2		上	去上上							3902	
30-006-01	世俗諺文_天理大学図書館	764	454	華	華	優曇華	優曇華			3		上	去上上							3902	
30-006-01	世俗諺文_天理大学図書館	765	455	妙	妙	妙法	妙法			1		平	平入							3903	
30-006-01	世俗諺文_天理大学図書館	766	455	法	法	妙法	妙法			2		入	平入							3903	
30-006-01	世俗諺文_天理大学図書館	767	456	文	文	文句	文句			1		去	去平	モン	モンク					3905	
30-006-01	世俗諺文_天理大学図書館	768	456	句	句	文句	文句			2		平	去平	ク	モンク					3905	
30-006-01	世俗諺文_天理大学図書館	769	457	靈	霊	靈瑞	霊瑞			1		去	去平濁	リヤウ	リヤウスイ					3905	
30-006-01	世俗諺文_天理大学図書館	770	457	瑞	瑞	靈瑞	霊瑞			2		平濁	去平濁	スイ	リヤウスイ					3905	
30-006-01	世俗諺文_天理大学図書館	771	458	金	金	金輪王	金輪王			1		去	去上上							3906	
30-006-01	世俗諺文_天理大学図書館	772	458	輪	輪	金輪王	金輪王			2		上	去上上							3906	
30-006-01	世俗諺文_天理大学図書館	773	458	王	王	金輪王	金輪王			3		上	去上上							3906	
30-006-01	世俗諺文_天理大学図書館	774	459	三	三	三乘	三乗			1		去	去上濁							3906	
30-006-01	世俗諺文_天理大学図書館	775	459	乘	乗	三乘	三乗			2		上濁	去上濁							3906	
30-006-01	世俗諺文_天理大学図書館	776	460	調	調	調熟	調熟			1		去濁	去濁入濁							3906	
30-006-01	世俗諺文_天理大学図書館	777	460	熟	熟	調熟	調熟			2		入濁	去濁入濁							3906	
30-006-01	世俗諺文_天理大学図書館	778	461	千	千	千載	千載			1		平	平去		＊サイ					3907	
30-006-01	世俗諺文_天理大学図書館	779	461	載	載	千載	千載			2		去	平去	サイ	＊サイ					3907	
30-006-01	世俗諺文_天理大学図書館	780	462	遇	遇	一遇	一遇			2		平濁	＊平濁							3907	
30-006-01	世俗諺文_天理大学図書館	781	463	名	名	名臣	名臣			1		平	平平							3908	
30-006-01	世俗諺文_天理大学図書館	782	463	臣	臣	名臣	名臣			2		平	平平							3908	
30-006-01	世俗諺文_天理大学図書館	783	464	序	序	序贊	序賛			1		上	上去							3908	
30-006-01	世俗諺文_天理大学図書館	784	464	贊	賛	序贊	序賛			2		去	上去							3908	
30-006-01	世俗諺文_天理大学図書館	785	465	賢	賢	賢智	賢智			1		平	平去							3908	
30-006-01	世俗諺文_天理大学図書館	786	465	智	智	賢智	賢智			2		去	平去							3908	
30-006-01	世俗諺文_天理大学図書館	787	466	嘉	嘉	嘉會	嘉会			1		平	平去							3908	
30-006-01	世俗諺文_天理大学図書館	788	466	會	会	嘉會	嘉会			2		去	平去							3908	
30-006-01	世俗諺文_天理大学図書館	789	467	李	李	李善	李善			1		去	去去							4001	
30-006-01	世俗諺文_天理大学図書館	790	467	善	善	李善	李善			2		去	去去							4001	
30-006-01	世俗諺文_天理大学図書館	791	468	東	東	東觀	東観			1		平	平去							4001	
30-006-01	世俗諺文_天理大学図書館	792	468	觀	観	東觀	東観			2		去	平去							4001	
30-006-01	世俗諺文_天理大学図書館	793	469	耿	耿	耿況	耿況			1		上	上平	カウ	カウクヰヤウ					4001	
30-006-01	世俗諺文_天理大学図書館	794	469	況	況	耿況	耿況			2		平	上平	クヰヤウ	カウクヰヤウ					4001	
30-006-01	世俗諺文_天理大学図書館	795	470	彭	彭	彭寵	彭寵			1		平	平上	ハウ	ハウ＊					4001	
30-006-01	世俗諺文_天理大学図書館	796	470	寵	寵	彭寵	彭寵			2		上	平上		ハウ＊					4001	
30-006-01	世俗諺文_天理大学図書館	797	471	蕃	蕃	蕃輔	蕃輔			1		平	平上							4002	
30-006-01	世俗諺文_天理大学図書館	798	471	輔	輔	蕃輔	蕃輔			2		上	平上							4002	
30-006-01	世俗諺文_天理大学図書館	799	472	策	策	策	策			1		入軽	入軽	サク	サク					4002	
30-006-01	世俗諺文_天理大学図書館	800	473	淮	淮	淮南子	淮南子			1		去	去上平濁	ヱ	ヱ＊＊					4005	
30-006-01	世俗諺文_天理大学図書館	801	473	南	南	淮南子	淮南子			2		上	去上平濁		ヱ＊＊					4005	
30-006-01	世俗諺文_天理大学図書館	802	473	子	子	淮南子	淮南子			3		平濁	去上平濁		ヱ＊＊					4005	
30-006-01	世俗諺文_天理大学図書館	803	474	曲	曲	曲木	曲木			1		入	入入濁							4006	
30-006-01	世俗諺文_天理大学図書館	804	474	木	木	曲木	曲木			2		入濁	入入濁							4006	
30-006-01	世俗諺文_天理大学図書館	805	475	聖	聖	聖	聖			1		去	去							4007	
30-006-01	世俗諺文_天理大学図書館	806	476	負	負	負罪	負罪			1		去	去去濁							4009	
30-006-01	世俗諺文_天理大学図書館	807	476	罪	罪	負罪	負罪			2		去濁	去去濁							4009	
30-006-01	世俗諺文_天理大学図書館	808	477	奸	奸	奸道	奸道			1		平	平去	カン	カン＊					4101	
30-006-01	世俗諺文_天理大学図書館	809	477	道	道	奸道	奸道			2		去	平去		カン＊					4101	
30-006-01	世俗諺文_天理大学図書館	810	478	香	香	香餌	香餌			1		平	平去濁	キヤウ	キヤウシ					4102	声点虫食い
30-006-01	世俗諺文_天理大学図書館	811	478	餌	餌	香餌	香餌			2		去濁	平去濁	シ	キヤウシ					4102	
30-006-01	世俗諺文_天理大学図書館	812	479	優	優	優賞	優賞			1		平	平上							4103	
30-006-01	世俗諺文_天理大学図書館	813	479	賞	賞	優賞	優賞			2		上	平上							4103	
30-006-01	世俗諺文_天理大学図書館	814	480	怨	怨	怨夫	怨夫			1		去	去平軽							4103	
30-006-01	世俗諺文_天理大学図書館	815	480	夫	夫	怨夫	怨夫			2		平軽	去平軽							4103	
30-006-01	世俗諺文_天理大学図書館	816	481	倫	倫	倫	倫			1		平	平							4106	
30-006-01	世俗諺文_天理大学図書館	817	482	睿	睿	睿	睿			1		去	去							4106	
30-006-01	世俗諺文_天理大学図書館	818	483	跼	跼	跼	跼			1		入	入	キヨク	キヨク					4106	
30-006-01	世俗諺文_天理大学図書館	819	484	曲	曲	曲	曲			1		入	入							4106	
30-006-01	世俗諺文_天理大学図書館	820	485	蹐	蹐	蹐	蹐			1		入	入	セキ	セキ					4106	
30-006-01	世俗諺文_天理大学図書館	821	486	倫	倫	倫	倫			1		平	平							4106	
30-006-01	世俗諺文_天理大学図書館	822	487	道	道	道	道			1		去	去							4106	
30-006-01	世俗諺文_天理大学図書館	823	488	箋	箋	箋	箋			1		平軽	平軽	セン	セン					4107	
30-006-01	世俗諺文_天理大学図書館	824	489	局	局	局蹐	局蹐			1		入	入入							4107	
30-006-01	世俗諺文_天理大学図書館	825	489	蹐	蹐	局蹐	局蹐			2		入	入入							4107	
30-006-01	世俗諺文_天理大学図書館	826	490	霆	霆	雷霆	雷霆			1		平	平＊							4107	
30-006-01	世俗諺文_天理大学図書館	827	491	淪	淪	淪	淪			1		平	平							4108	
30-006-01	世俗諺文_天理大学図書館	828	492	温	温	温樹	温樹			1		平	平去							4201	
30-006-01	世俗諺文_天理大学図書館	829	492	樹	樹	温樹	温樹			2		去	平去							4201	
30-006-01	世俗諺文_天理大学図書館	830	493	孔	孔	孔光	孔光			1		上	上平	コウ	コウ＊					4202	
30-006-01	世俗諺文_天理大学図書館	831	493	光	光	孔光	孔光			2		平	上平		コウ＊					4202	
30-006-01	世俗諺文_天理大学図書館	832	494	性	性	性	性			1		去	去							4202	
30-006-01	世俗諺文_天理大学図書館	833	495	謹	謹	謹愼	謹慎			1		上	上去							4202	
30-006-01	世俗諺文_天理大学図書館	834	495	愼	慎	謹愼	謹慎			2		去	上去							4202	
30-006-01	世俗諺文_天理大学図書館	835	496	燕	燕	燕語	燕語			1		去	去上濁							4203	
30-006-01	世俗諺文_天理大学図書館	836	496	語	語	燕語	燕語			2		上濁	去上濁							4203	
30-006-01	世俗諺文_天理大学図書館	837	497	朝	朝	朝省	朝省			1		平	平上							4203	
30-006-01	世俗諺文_天理大学図書館	838	497	省	省	朝省	朝省			2		上	平上							4203	
30-006-01	世俗諺文_天理大学図書館	839	498	政	政	政事	政事			1		去	去＊							4203	
30-006-01	世俗諺文_天理大学図書館	840	499	温	温	温室省	温室省			1		平	平入軽上							4203	
30-006-01	世俗諺文_天理大学図書館	841	499	室	室	温室省	温室省			2		入軽	平入軽上							4203	
30-006-01	世俗諺文_天理大学図書館	842	499	省	省	温室省	温室省			3		上	平入軽上							4203	
30-006-01	世俗諺文_天理大学図書館	843	500	光	光	光	光			1		平	平							4204	
30-006-01	世俗諺文_天理大学図書館	844	501	梁	梁	梁丘據	梁丘拠			1		平	平平軽上		＊＊キヨ					4206	
30-006-01	世俗諺文_天理大学図書館	845	501	丘	丘	梁丘據	梁丘拠			2		平軽	平平軽上		＊＊キヨ					4206	
30-006-01	世俗諺文_天理大学図書館	846	501	據	拠	梁丘據	梁丘拠			3		上	平平軽上	キヨ	＊＊キヨ					4206	
30-006-01	世俗諺文_天理大学図書館	847	502	晏	晏	晏子	晏子			1		去	去上	エン	エン＊					4206	
30-006-01	世俗諺文_天理大学図書館	848	502	子	子	晏子	晏子			2		上	去上		エン＊					4206	
30-006-01	世俗諺文_天理大学図書館	849	503	戰	戦	戰戰	戦戦			1		去	去＊	セン	セン＊					4301	
30-006-01	世俗諺文_天理大学図書館	850	504	兢	兢	兢兢	兢兢			1		平	平＊	キヨウ	キヨウキヨウ					4301	
30-006-01	世俗諺文_天理大学図書館	851	504	兢	兢	兢兢	兢兢			2			平＊	キヨウ	キヨウキヨウ					4301	踊り字
30-006-01	世俗諺文_天理大学図書館	852	505	苑	苑	説苑	説苑			2		上	＊上	ヱン	＊ヱン					4303	
30-006-01	世俗諺文_天理大学図書館	853	506	樂	楽	樂羊	楽羊			1		入軽濁	入軽濁平軽							4303	
30-006-01	世俗諺文_天理大学図書館	854	506	羊	羊	樂羊	楽羊			2		平軽	入軽濁平軽							4303	
30-006-01	世俗諺文_天理大学図書館	855	507	急	急	急	急			1		入軽	入軽							4304	
30-006-01	世俗諺文_天理大学図書館	856	508	侯	侯	文侯	文侯			2		平	＊平							4306	
30-006-01	世俗諺文_天理大学図書館	857	509	孟	孟	孟孫	孟孫			1		去	去平		＊ソン					4307	
30-006-01	世俗諺文_天理大学図書館	858	509	孫	孫	孟孫	孟孫			2		平	去平	ソン	＊ソン					4307	
30-006-01	世俗諺文_天理大学図書館	859	510	西	西	西巴	西巴			1		平	平平／平上		＊ハ					4308	
30-006-01	世俗諺文_天理大学図書館	860	510	巴	巴	西巴	西巴			2		平／上	平平／平上	ハ	＊ハ					4308	
30-006-01	世俗諺文_天理大学図書館	861	510	西	西	西巴	西巴			1		平	平平							4308	
30-006-01	世俗諺文_天理大学図書館	862	510	巴	巴	西巴	西巴			2		平	平平							4308	
30-006-01	世俗諺文_天理大学図書館	863	511	孟	孟	孟孫	孟孫			1		去	去平							4308	
30-006-01	世俗諺文_天理大学図書館	864	511	孫	孫	孟孫	孟孫			2		平	去平							4401	
30-006-01	世俗諺文_天理大学図書館	865	512	西	西	西巴	西巴			1		平	平平							4401	
30-006-01	世俗諺文_天理大学図書館	866	512	巴	巴	西巴	西巴			2		平	平平							4401	
30-006-01	世俗諺文_天理大学図書館	867	513	傅	傅	傅	傅			1				フ	フ					4401	
30-006-01	世俗諺文_天理大学図書館	868	514	秦	秦	秦	秦			1		平	平							4402	
30-006-01	世俗諺文_天理大学図書館	869	515	信	信	信	信ス			1		去	去							4404	
30-006-01	世俗諺文_天理大学図書館	870	516	仁	仁	仁	仁			1		平濁	平濁							4404	
30-006-01	世俗諺文_天理大学図書館	871	517	密	密	密子賎	密子賎			1		入濁	入濁上去							4406	
30-006-01	世俗諺文_天理大学図書館	872	517	子	子	密子賎	密子賎			2		上	入濁上去							4406	
30-006-01	世俗諺文_天理大学図書館	873	517	賎	賎	密子賎	密子賎			3		去	入濁上去							4406	
30-006-01	世俗諺文_天理大学図書館	874	518	單	単	單父	単父			1		去	去上							4406	
30-006-01	世俗諺文_天理大学図書館	875	518	父	父	單父	単父			2		上	去上							4406	
30-006-01	世俗諺文_天理大学図書館	876	519	巫	巫	巫馬期	巫馬期			1		平濁	平濁上濁平							4407	
30-006-01	世俗諺文_天理大学図書館	877	519	馬	馬	巫馬期	巫馬期			2		上濁	平濁上濁平							4407	
30-006-01	世俗諺文_天理大学図書館	878	519	期	期	巫馬期	巫馬期			3		平	平濁上濁平							4407	
30-006-01	世俗諺文_天理大学図書館	879	520	親	親	親	親ス			1		平	平							4408	
30-006-01	世俗諺文_天理大学図書館	880	521	化	化	化	化ス			1		去	去							4408	
30-006-01	世俗諺文_天理大学図書館	881	522	巫	巫	巫馬期	巫馬期			1		平濁	平濁上濁平							4408	
30-006-01	世俗諺文_天理大学図書館	882	522	馬	馬	巫馬期	巫馬期			2		上濁	平濁上濁平							4408	
30-006-01	世俗諺文_天理大学図書館	883	522	期	期	巫馬期	巫馬期			3		平	平濁上濁平							4408	
30-006-01	世俗諺文_天理大学図書館	884	523	密	密	密子	密子			1		入濁	入濁上							4408	
30-006-01	世俗諺文_天理大学図書館	885	523	子	子	密子	密子			2		上	入濁上							4408	
30-006-01	世俗諺文_天理大学図書館	886	524	勞	労	勞	労ス			1		去	去							4409	
30-006-01	世俗諺文_天理大学図書館	887	525	密	密	密子	密子			1		入濁	入濁上							4501	
30-006-01	世俗諺文_天理大学図書館	888	525	子	子	密子	密子			2		上	入濁上							4501	
30-006-01	世俗諺文_天理大学図書館	889	526	忠	忠	忠情	忠情			1		平軽	平軽平							4502	
30-006-01	世俗諺文_天理大学図書館	890	526	情	情	忠情	忠情			2		平	平軽平							4502	
30-006-01	世俗諺文_天理大学図書館	891	527	青	青	青侯	青侯			1		平軽	平軽平							4503	
30-006-01	世俗諺文_天理大学図書館	892	527	侯	侯	青侯	青侯			2		平	平軽平							4503	
30-006-01	世俗諺文_天理大学図書館	893	528	臣	臣	臣	臣			1		平	平							4503	
30-006-01	世俗諺文_天理大学図書館	894	529	曹	曹	曹子建	曹子建			1		平	平去去	サウ	サウ＊＊					4504	
30-006-01	世俗諺文_天理大学図書館	895	529	子	子	曹子建	曹子建			2		去	平去去		サウ＊＊					4504	
30-006-01	世俗諺文_天理大学図書館	896	529	建	建	曹子建	曹子建			3		去	平去去		サウ＊＊					4504	
30-006-01	世俗諺文_天理大学図書館	897	530	踊	踊	踊躍	踊躍			1				ヨウ	ヨウヤク					4504	
30-006-01	世俗諺文_天理大学図書館	898	530	躍	躍	踊躍	踊躍			2				ヤク	ヨウヤク					4504	
30-006-01	世俗諺文_天理大学図書館	899	531	反	反	反側	反側			1		上	上入軽							4504	
30-006-01	世俗諺文_天理大学図書館	900	531	側	側	反側	反側			2		入軽	上入軽							4504	
30-006-01	世俗諺文_天理大学図書館	901	532	戀	恋	戀	恋ル			1		入	入							4505	声点不審
30-006-01	世俗諺文_天理大学図書館	902	533	主	主	主	主			1		去	去							4505	
30-006-01	世俗諺文_天理大学図書館	903	534	順	順	順帝	順帝			1		去	去去							4507	
30-006-01	世俗諺文_天理大学図書館	904	534	帝	帝	順帝	順帝			2		去	去去							4507	
30-006-01	世俗諺文_天理大学図書館	905	535	京	京	京師	京師			1		平	平平							4507	
30-006-01	世俗諺文_天理大学図書館	906	535	師	師	京師	京師			2		平	平平							4507	
30-006-01	世俗諺文_天理大学図書館	907	536	封	封	封侯	封侯			1		平軽	平軽平	フ	フ＊					4508	仮名は上の「及」の送り仮名か
30-006-01	世俗諺文_天理大学図書館	908	536	侯	侯	封侯	封侯			2		平	平軽平		フ＊					4508	
30-006-01	世俗諺文_天理大学図書館	909	537	良	良	良藥	良薬			1		平	平入軽							4601	
30-006-01	世俗諺文_天理大学図書館	910	537	藥	薬	良藥	良薬			2		入軽	平入軽							4601	
30-006-01	世俗諺文_天理大学図書館	911	538	苑	苑	説苑	説苑			2		上	＊上	ヱン	＊ヱン					4602	
30-006-01	世俗諺文_天理大学図書館	912	539	忠	忠	忠言	忠言			1		平	平平濁							4602	
30-006-01	世俗諺文_天理大学図書館	913	539	言	言	忠言	忠言			2		平濁	平平濁							4602	
30-006-01	世俗諺文_天理大学図書館	914	540	利	利	利	利ス			1		去	去							4603	
30-006-01	世俗諺文_天理大学図書館	915	541	行	行	行	行			1		去	去							4603	
30-006-01	世俗諺文_天理大学図書館	916	542	諤	諤	諤諤	諤諤			1		入軽濁	入軽濁＊	カク	カクカク					4603	
30-006-01	世俗諺文_天理大学図書館	917	542	諤	諤	諤諤	諤諤			2			入軽濁＊	カク	カクカク					4603	踊り字
30-006-01	世俗諺文_天理大学図書館	918	543	紂	紂	紂	紂			1		去	去	チウ	チウ					4603	
30-006-01	世俗諺文_天理大学図書館	919	544	默	黙	默默	黙黙			1			＊入軽濁	ホク	ホク＊					4603	
30-006-01	世俗諺文_天理大学図書館	920	544	默	黙	默默	黙黙			2		入軽濁	＊入軽濁		ホク＊					4603	
30-006-01	世俗諺文_天理大学図書館	921	545	諤	諤	諤諤	諤諤			1		入軽濁	入軽濁＊							4604	
30-006-01	世俗諺文_天理大学図書館	922	546	臣	臣	臣	臣			1		平	平							4604	
30-006-01	世俗諺文_天理大学図書館	923	547	諤	諤	諤諤	諤諤			1				カク	カクカク					4604	
