資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-023-03	唯信鈔_專修寺	1758	772	行	行	修行	修行			2	2	上濁	上上濁	キヤウ	シユキヤウ					110.2		修行
30-023-03	唯信鈔_專修寺	1759	773	義	義	義	義			1	1	平濁	平濁	キ	キ					110.3		義
30-023-03	唯信鈔_專修寺	1760	774	行	行	行	行			1	2	平濁	平濁							110.3		行
30-023-03	唯信鈔_專修寺	1761	775	魔	魔	魔界	魔界			1	1	上	上平	マ	マカイ					110.4		魔界
30-023-03	唯信鈔_專修寺	1762	775	界	界	魔界	魔界			2	2	平	上平	カイ	マカイ					110.4		魔界
30-023-03	唯信鈔_專修寺	1763	776	末	末	末世	末世			1	1	入	入平	マチ	マチセ					110.5		末世
30-023-03	唯信鈔_專修寺	1764	776	世	世	末世	末世			2	1	平	入平	セ	マチセ					110.5		末世
30-023-03	唯信鈔_專修寺	1765	777	衆	衆	衆生	衆生			1	1			シユ	シユシヤウ					110.5		衆生
30-023-03	唯信鈔_專修寺	1766	777	生	生	衆生	衆生			2	2			シヤウ	シユシヤウ					110.5		衆生
30-023-03	唯信鈔_專修寺	1767	778	説	説	説	説			1	2	入	入	セチ	セチ					111.1		説
30-023-03	唯信鈔_專修寺	1768	779	得	得	得失	得失			1	2	入	入入	トク	トクシチ					111.1		得失
30-023-03	唯信鈔_專修寺	1769	779	失	失	得失	得失			2	1	入	入入	シチ	トクシチ					111.1		得失
30-023-03	唯信鈔_專修寺	1770	780	往	往	往生	往生			1	2			ワウ	ワウシヤウ					111.1		往生
30-023-03	唯信鈔_專修寺	1771	780	生	生	往生	往生			2	2			シヤウ	ワウシヤウ					111.2		往生
30-023-03	唯信鈔_專修寺	1772	781	業	業	業	業			1	2	入濁	入濁	コフ	コフ					111.2		業
30-023-03	唯信鈔_專修寺	1773	782	理	理	理	理			1	1	上	上	リ〔朱〕	リ					111.3	朱筆	理
30-023-03	唯信鈔_專修寺	1774	783	_	_	_數	_数			1	2	平	平平濁	ヘン	ヘンシユ					111.3		_数
