資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
20-050-01	大鏡_天理大学図書館	202	112	當	當	勘當	勘當の			2		上濁	去上濁		カン＊					024b-3	
20-050-01	大鏡_天理大学図書館	203	113	過	過	過差	過差は			1		去	去＊	クワ	クワサ					024b-4	
20-050-01	大鏡_天理大学図書館	204	113	差	差	過差	過差は			2			去＊	サ	クワサ					024b-4	
20-050-01	大鏡_天理大学図書館	205	114	非	非	非道	非道なる			1				ヒ	ヒタウ					025a-2	
20-050-01	大鏡_天理大学図書館	206	114	道	道	非道	非道なる			2				タウ	ヒタウ					025a-2	
20-050-01	大鏡_天理大学図書館	207	115	不	不	不便	不便なり			1				フ	フヒン					025a-5	
20-050-01	大鏡_天理大学図書館	208	115	便	便	不便	不便なり			2				ヒン	フヒン					025a-5	
20-050-01	大鏡_天理大学図書館	209	116	史	史	史	史か			1		上	上	シ	シ					025a-6	
20-050-01	大鏡_天理大学図書館	210	117	史	史	史	史			1		上	上	シ	シ					025b-3	
20-050-01	大鏡_天理大学図書館	211	118	文	文	文	文		混種語	1				フン	フン					025b-3	
20-050-01	大鏡_天理大学図書館	212	119	術	術	術	術			1				シユツ	シユツ					025b-7	
20-050-01	大鏡_天理大学図書館	213	120	清	清	清涼殿	清涼殿に			1				セイ	セイリヤウテン					026a-4	
20-050-01	大鏡_天理大学図書館	214	120	涼	涼	清涼殿	清涼殿に			2				リヤウ	セイリヤウテン					026a-4	
20-050-01	大鏡_天理大学図書館	215	120	殿	殿	清涼殿	清涼殿に			3				テン	セイリヤウテン					026a-4	
20-050-01	大鏡_天理大学図書館	216	121	王	王	王威	王威の			1		平	平平		＊ヰ					026b-3	
20-050-01	大鏡_天理大学図書館	217	121	威	威	王威	王威の			2		平	平平	ヰ	＊ヰ					026b-3	
20-050-01	大鏡_天理大学図書館	218	122	理	理	理非	理非を			1				リ	リヒ					026b-4	
20-050-01	大鏡_天理大学図書館	219	122	非	非	理非	理非を			2				ヒ	リヒ					026b-4	
20-050-01	大鏡_天理大学図書館	220	123	枇	枇	枇杷	枇杷ノ			1		去濁	去濁上	ヒ	ヒハ					026b-6	
20-050-01	大鏡_天理大学図書館	221	123	杷	杷	枇杷	枇杷ノ			2		上	去濁上	ハ	ヒハ					026b-6	
20-050-01	大鏡_天理大学図書館	222	124	貞	貞	貞信公	貞信公			1		平	平去濁平							027a-4	
20-050-01	大鏡_天理大学図書館	223	124	信	信	貞信公	貞信公			2		去濁	平去濁平							027a-4	
20-050-01	大鏡_天理大学図書館	224	124	公	公	貞信公	貞信公			3		平	平去濁平							027a-4	
20-050-01	大鏡_天理大学図書館	225	125	相	相	相	相シ			1				サウ	サウ					027a-5	本文右傍書入
20-050-01	大鏡_天理大学図書館	226	126	延	延	延長	延長			1				エン	エン＊					027a-6	
20-050-01	大鏡_天理大学図書館	227	127	慶	慶	天慶	天慶			2				キヤウ	＊キヤウ					027a-7	
20-050-01	大鏡_天理大学図書館	228	128	貞	貞	貞信公	貞信公と			1				テイ	テイシン＊					027b-2	
20-050-01	大鏡_天理大学図書館	229	128	信	信	貞信公	貞信公と			2				シン	テイシン＊					027b-2	
20-050-01	大鏡_天理大学図書館	230	129	先	先	先坊	先坊の			1				セン	セン＊					028a-3	
