資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	国立国会図書館デジタルコレクション複製本リンク
40-045-01	東洋文庫本法華経音訓	519	515	具	具	具	具			1	1	平濁	平濁	ク	ク				序品	12a2_4		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	520	516	化	化	化	化			1	1	平	平	クエ	クエ				序品	12a3_1		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	521	517	破	破	破	破			1	1	平	平	ハ	ハ				序品	12a3_2		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	522	518	魔	魔	魔	魔			1	1	上	上	マ	マ				序品	12a3_3		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	523	519	兵	兵	兵	兵			1	1	去	去	ヒヤウ	ヒヤウ				序品	12a3_4		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	524	520	撃	_	撃	_			1	1	入	入	キヤク	キヤク				序品	12a4_1	_の「几」は「口」	https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	525	521	鼓	_	鼓	_			1	1	平	平	ク	ク				序品	12a4_2		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	526	522	寂	寂	寂	寂			1	1	入濁	入濁	シヤク	シヤク				序品	12a4_3		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	527	523	宴	宴	宴	宴			1	1	去	去	エン	エン				序品	12a4_4		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	528	524	默	黙	默	黙			1	1	入	入	モク	モク				"序品,(黙,_)"	12a5_1		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	529	525	默	_	默	_			1	1	(入)	(入)	(モク)	(モク)				"序品,同(黙,_)"	12a5_2		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	530	526	林	林	林	林			1	1	上／去	上／去	リン	リン				序品	12a5_3		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	531	527	濟	濟	濟	濟			1	1	平	平	サイ	サイ				序品	12a5_4		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	532	528	嘗	甞	嘗	甞			1	1	去濁	去濁	シヤウ	シヤウ				"序品,(甞,嘗)"	12a6_1		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	533	529	嘗	嘗	嘗	嘗			1	1	(去濁)	(去濁)	(シヤウ)	(シヤウ)				"序品,同(甞,嘗)"	12a6_2		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	534	530	睡	睡	睡	睡			1	1	平	平	スイ	スイ				序品	12a6_3		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	535	531	眠	眠	眠	眠			1	1	去	去	メン	メン				"序品,(眠,瞑)"	12a6_4		https://dl.ndl.go.jp/pid/3438692/1/13
40-045-01	東洋文庫本法華経音訓	536	532	瞑	瞑	瞑	瞑			1	1	(去)	(去)	(メン)	(メン)				"序品,同(眠,瞑)"	12b1_1		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	537	533	勤	勤	勤	勤			1	1	平濁	平濁	コン	コン				序品	12b1_2		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	538	534	戒	戒	戒	戒			1	1	平	平	カイ	カイ				序品	12b1_3		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	539	535	儀	儀	儀	儀			1	1	平濁／上濁	平濁／上濁	キ	キ				序品	12b1_4		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	540	536	欠	缺	欠	缺			1	1	入	入	クエチ／ケツ	クエチ／ケツ				序品	12b2_1	缺の左下「山」は「止」	https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	541	537	忍	忍	忍	忍			1	1	平	平	ニン	ニン				序品	12b2_2		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	542	538	辱	辱	辱	辱			1	1	入	入	ニク	ニク				序品	12b2_3		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	543	539	増	増	増	増			1	1	去濁	去濁	ソウ	ソウ				序品	12b2_4		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	544	540	慢	慢	慢	慢			1	1	平／去	平／去	マン	マン				"序品,(慢,__)"	12b3_1		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	545	541	慢	__	慢	__			1	1	(平／去)	(平／去)	(マン)	(マン)				"序品,同(慢,__)"	12b3_2		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	546	542	亂	亂	亂	亂			1	1	平	平	ラン	ラン				"序品,(亂,乱)"	12b3_3		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	547	543	亂	乱	亂	乱			1	1	(平)	(平)	(ラン)	(ラン)				"序品,同(亂,乱)"	12b3_4		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	548	544	罵	罵	罵	罵			1	1	平	平	メ	メ				序品	12b4_1		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	549	545	捶	捶	捶	捶			1	1	平	平	スイ	スイ				序品	12b4_2		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	550	546	打	打	打	打			1	1	上／去	上／去	チヤウ	チヤウ				序品	12b4_3		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	551	547	戲	戲	戲	戲			1	1	平	平	ケ	ケ				序品	12b4_4		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	552	548	笑	笑	笑	笑			1	1	去	去	セウ	セウ				"序品,(笑,__,咲,__)"	12b5_1		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	553	549	笑	__	笑	__			1	1	(去)	(去)	(セウ)	(セウ)				"序品,同(笑,__,咲,__)"	12b5_2	墨書入「シヨヲ」	https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	554	550	笑	咲	笑	咲			1	1	(去)	(去)	(セウ)	(セウ)				"序品,同(笑,__,咲,__)"	12b5_3		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	555	551	笑	__	笑	__			1	1	(去)	(去)	(セウ)	(セウ)				"序品,同(笑,__,咲,__)"	12b5_4		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	556	552	癡	癡	癡	癡			1	1	上／去	上／去	チ	チ				序品	12b6_1		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	557	553	攝	攝	攝	攝			1	1	入	入	セフ	セフ				序品	12b6_2		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	558	554	歳	_	歳	_			1	1	平	平	サイ	サイ				"序品,(_,歳)"	12b6_3		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	559	555	歳	歳	歳	歳			1	1	(平)	(平)	(サイ)	(サイ)				"序品,同(_,歳)"	12b6_4		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	560	556	肴	肴	肴	肴			1	1	去	去	ケウ	ケウ				"序品,(肴,_)"	13a1_1		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	561	557	肴	_	肴	_			1	1	(去)	(去)	(ケウ)	(ケウ)				"序品,同(肴,_)"	13a1_2		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	562	558	膳	_	膳	_			1	1	平濁	平濁	セン	セン				"序品,(_,膳)"	13a1_3		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	563	559	膳	膳	膳	膳			1	1	(入濁)	(入濁)	(セン)	(セン)				"序品,同(_,膳)"	13a1_4		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	564	560	飲	飮	飲	飮			1	1	平	平	ヲン	ヲン				序品	13a2_1		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	565	561	食	食	食	食			1	1	入濁	入濁	シキ	シキ				序品	13a2_2		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	566	562	湯	湯	湯	湯			1	1	去	去	タウ	タウ				序品	13a2_3	―藥	https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	567	563	僧	僧	僧	僧			1	1	上／去	上／去	ソウ	ソウ				序品	13a2_4	師―	https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	568	564	衣	衣	衣	衣			1	1	上／去	上／去	エ	エ				序品	13a3_1		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	569	565	價	價	價	價			1	1	平	平	ケ	ケ				序品	13a3_2		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	570	566	直	直	直	直			1	1	入濁	入濁	チキ	チキ				"序品,(直,__)"	13a3_3		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	571	567	直	__	直	__			1	1	(入濁)	(入濁)	(チキ)	(チキ)				"序品,同(直,__)"	13a3_4	U+FAA8	https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	572	568	臥	臥	臥	臥			1	1	平濁	平濁	クワ	クワ				序品	13a4_1		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	573	569	園	園	園	園			1	1	上／去	上／去	ヲン	ヲン				序品	13a4_2		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	574	570	果	果	果	果			1	1	平	平	クワ	クワ				"序品,(果,菓)"	13a4_3		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	575	571	菓	菓	菓	菓			1	1	(平)	(平)	(クワ)	(クワ)				"序品,同(果,菓)"	13a4_4		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	576	572	茂	茂	茂	茂			1	1	平	平	ム	ム				序品	13a5_1		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	577	573	盛	盛	盛	盛			1	1	平濁／去濁	平濁／去濁	シヤウ	シヤウ				序品	13a5_2		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	578	574	流	流	流	流			1	1	上／去	上／去	ル	ル				序品	13a5_3		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	579	575	泉	泉	泉	泉			1	1	平	平	セン	セン				序品	13a5_4		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	580	576	浴	浴	浴	浴			1	1	入	入	ヨク	ヨク				序品	13a6_1		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	581	577	池	池	池	池			1	1	上	上	チ	チ				序品	13a6_2		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	582	578	滅	滅	滅	滅			1	1	入	入	メツ	メツ				序品	13a6_3		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	583	579	詔	詔	詔	詔			1	1	平	平	セウ	セウ				序品	13a6_4		https://dl.ndl.go.jp/pid/3438692/1/14
40-045-01	東洋文庫本法華経音訓	584	580	性	性	性	性			1	1	平	平	シヤウ	シヤウ				序品	13b1_1		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	585	581	猶	猶	猶	猶			1	1	上／去	上／去	ユ	ユ				序品	13b1_2	猶の右部は「酋」	https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	586	582	虚	虚	虚	虚			1	1	上／去	上／去	コ	コ				序品	13b1_3		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	587	583	着	著	着	著			1	1	入濁	入濁	チヤク	チヤク				"序品,(著,箸)"	13b1_4		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	588	584	着	箸	着	箸			1	1	(入濁)	(入濁)	(チヤク)	(チヤク)				"序品,同(著,箸)"	13b2_1		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	589	585	造	造	造	造			1	1	去濁	去濁	サウ	サウ				序品	13b2_2		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	590	586	廟	廟	廟	廟			1	1	去	去	メウ	メウ				"序品,(廟,__)"	13b2_3		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	591	587	廟	__	廟	_			1	1	(去)	(去)	(メウ)	(メウ)				"序品,同(廟,__)"	13b2_4		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	592	588	高	高	高	高			1	1	上／去	上／去	カウ	カウ				"序品,(高,_)"	13b3_1		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	593	589	高	_	高	_			1	1	上	上	(カウ)	(カウ)				"序品,同(高,_)"	13b3_2		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	594	590	由	由	由	由			1	1	上	上	ユ	ユ				序品	13b3_3		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	595	591	旬	旬	旬	旬			1	1	上濁	上濁	シユン	シユン				序品	13b3_4		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	596	592	縱	縱	縱	縱			1	1	去濁	去濁	シユウ	シユウ				序品	13b4_1		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	597	593	廣	廣	廣	廣			1	1	平	平	クワウ	クワウ				序品	13b4_2		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	598	594	幢	幢	幢	幢			1	1	去濁	去濁	トウ	トウ				序品	13b4_3		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	599	595	旛	旛	旛	旛			1	1	上濁／去濁	上濁／去濁	ハン	ハン				"序品,(旛,幡)"	13b4_4		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	600	596	幡	幡	幡	幡			1	1	(上濁／去濁)	(上濁／去濁)	(ハン)	(ハン)				"序品,同(旛,幡)"	13b5_1		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	601	597	交	交	交	交			1	1	上／去	上／去	ケウ	ケウ				序品	13b5_2		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	602	598	露	露	露	露			1	1	平／去	平／去	ロ	ロ				序品	13b5_3		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	603	599	幔	幔	幔	幔			1	1	上／去	上／去	マン	マン				"序品,(幔,_)"	13b5_4		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	604	600	幔	_	幔	_			1	1	(上／去)	(上／去)	(マン)	(マン)				"序品,同(幔,_)"	13b6_1		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	605	601	鈴	鈴	鈴	鈴			1	1	去	去	リヤウ	リヤウ				序品	13b6_2		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	606	602	鳴	鳴	鳴	鳴			1	1	平	平	ミヤウ	ミヤウ				序品	13b6_3		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	607	603	妓	妓	妓	妓			1	1	平濁	平濁	キ	キ				"序品,(妓,伎)"	13b6_4		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	608	604	伎	伎	伎	伎			1	1	平濁	平濁	キ	キ				"序品,異(妓,伎)"	14a1_1		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	609	605	特	特	特	特			1	1	入濁	入濁	トク	トク				序品	14a1_2		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	610	606	樹	樹	樹	樹			1	1	平濁／去濁	平濁／去濁	シユ	シユ				序品	14a1_3		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	611	607	敷	__	敷	__			1	1	平	平	フ	フ				序品	14a1_4		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	612	608	仰	仰	仰	仰			1	1	平濁	平濁	カウ	カウ				序品	14a2_1		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	613	609	瞻	瞻	瞻	瞻			1	1	平	平	セン	セン				序品	14a2_2		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	614	610	仁	仁	仁	仁			1	1	去	去	ニン	ニン				序品	14a2_3		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	615	611	饒	饒	饒	饒			1	1	去	去	ネウ	ネウ				序品	14a2_4		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	616	612	益	益	益	益			1	1	入	入	ヤク	ヤク				序品	14a3_1		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	617	613	場	場	場	場			1	1	去濁	去濁	チヤウ	チヤウ				序品	14a3_2		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	618	614	授	授	授	授			1	1	平濁	平濁	シユ	シユ				序品	14a3_3		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	619	615	記	記	記	記			1	1	平	平	キ	キ				序品	14a3_4	記の「己」は「已」	https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	620	616	示	示	示	示			1	1	平濁	平濁	シ	シ				序品	14a4_1		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	621	617	察	察	察	察			1	1	入濁	入濁	サツ	サツ				序品	14a4_2		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	622	618	語	語	語	語			1	1	平濁	平濁	コ	コ				序品	14a4_3		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	623	619	士	士	士	士			1	1	平濁	平濁	シ	シ				序品	14a4_4		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	624	620	男	男	男	男			1	1	上／去	上／去	ナン	ナン				序品	14a5_1		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	625	621	忖	忖	忖	忖			1	1	平濁	平濁	シユン	シユン				序品	14a5_2		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	626	622	吹	吹	吹	吹			1	1	平／去	平／去	スイ	スイ				序品	14a5_3		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	627	623	即	_	即	_			1	1	入	入	ソク	ソク				"序品,(_,即)"	14a5_4		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	628	624	即	即	即	即			1	1	(入)	(入)	(ソク)	(ソク)				"序品,同(_,即)"	14a6_1		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	629	625	切	切	切	切			1	1	平／入	平／入	サイ／セチ	サイ／セチ				序品	14a6_2		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	630	626	邊	邊	邊	邊			1	1	上／去	上／去	ヘン	ヘン				序品	14a6_3		https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	631	627	祇	祇	祇	祇			1	1	上濁	上濁	キ	キ				序品	14a6_4	祇の「示」は「_」	https://dl.ndl.go.jp/pid/3438692/1/15
40-045-01	東洋文庫本法華経音訓	632	628	號	號	號	號			1	1	平濁／去	平濁／去	カウ	カウ				"序品,(號,号)"	14b1_1		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	633	629	號	号	號	号			1	1	(平濁／去)	(平濁／去)	(カウ)	(カウ)				"序品,同(號,号)"	14b1_2		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	634	630	日	日	日	日			1	1	入	入	ニチ	ニチ				序品	14b1_3		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	635	631	灯	燈	灯	燈			1	1	上／去	上／去	トウ	トウ				序品	14b1_4		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	636	632	來	來	來	來			1	1	上／去	上／去	ライ	ライ				"序品,(來,来)"	14b2_1		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	637	633	來	来	來	来			1	1	(上／去)	(上／去)	(ライ)	(ライ)				"序品,同(來,来)"	14b2_2		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	638	634	逝	逝	逝	逝			1	1	平	平	セイ	セイ				序品	14b2_3		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	639	635	調	調	調	調			1	1	去濁	去濁	テウ	テウ				序品	14b2_4		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	640	636	御	御	御	御			1	1	平濁	平濁	コ	コ				序品	14b3_1		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	641	637	丈	丈	丈	丈			1	1	去濁	去濁	チヤウ	チヤウ				序品	14b3_2		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	642	638	夫	夫	夫	夫			1	1	上濁	上濁	フ	フ				序品	14b3_3		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	643	639	初	初	初	初			1	1	上／去	上／去	シヨ	シヨ				序品	14b3_4		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	644	640	遠	遠	遠	遠			1	1	平／去	平／去	ヲン	ヲン				"序品,(遠,_)"	14b4_1		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	645	641	遠	_	遠	_			1	1	(平／去)	(平／去)	(ヲン)	(ヲン)				"序品,同(遠,_)"	14b4_2	_は「____」	https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	646	642	巧	巧	巧	巧			1	1	平濁	平濁	ケウ	ケウ				序品	14b4_3		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	647	643	純	純	純	純			1	1	去濁	去濁	シユン	シユン				序品	14b4_4		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	648	644	雜	雜	雜	雜			1	1	入濁	入濁	サフ	サフ				序品	14b5_1		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	649	645	諦	諦	諦	諦			1	1	平	平	タイ	タイ				序品	14b5_2		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	650	646	究	究	究	究			1	1	平	平	ク	ク				序品	14b5_3		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	651	647	竟	竟	竟	竟			1	1	平	平	キヤウ	キヤウ				序品	14b5_4		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	652	648	辟	辟	辟	辟			1	1	入	入	ヒヤク	ヒヤク				序品	14b6_1		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	653	649	支	支	支	支			1	1	上	上	シ	シ				序品	14b6_2		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	654	650	十	十	十	十			1	1	入濁	入濁	シフ／シチ	シフ／シチ				序品	14b6_3		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	655	651	蜜	蜜	蜜	蜜			1	1	入	入	ミツ	ミツ				序品	14b6_4		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	656	652	成	成	成	成			1	1	上濁／去濁	上濁／去濁	シヤウ	シヤウ				序品	15a1_1		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	657	653	次	次	次	次			1	1	平	平	シ	シ				序品	15a1_2		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	658	654	同	同	同	同			1	1	上濁	上濁	トウ	トウ				序品	15a1_3		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	659	655	字	字	字	字			1	1	平濁	平濁	シ	シ				序品	15a1_4		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	660	656	姓	姓	姓	姓			1	1	平	平	シヤウ	シヤウ				序品	15a2_1		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	661	657	頗	頗	頗	頗			1	1	平／上	平／上	ハ	ハ				序品	15a2_2	平声点塗りつぶす	https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	662	658	墮	墮	墮	墮			1	1	平濁	平濁	タ	タ				序品	15a2_3		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	663	659	最	最	最	最			1	1	上／去	上／去	サイ	サイ				"序品,(最,_)"	15a2_4		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	664	660	最	_	最	_			1	1	(上／去)	(上／去)	(サイ)	(サイ)				"序品,同(最,_)"	15a3_1		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	665	661	家	家	家	家			1	1	上	上	ケ	ケ				序品	15a3_2		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	666	662	響	響	響	響			1	1	平	平	カウ	カウ				序品	15a3_3		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	667	663	領	領	領	領			1	1	平	平	リヤウ	リヤウ				序品	15a3_4		https://dl.ndl.go.jp/pid/3438692/1/16
40-045-01	東洋文庫本法華経音訓	668	664	父	父	父	父			1	1	平濁	平濁	フ	フ				序品	15a4_1		https://dl.ndl.go.jp/pid/3438692/1/16
