資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	Unnamed: 22
30-023-02	唯信抄_西本願寺	1486	693	一	一	一生	一生			1	1	入	入去		＊シヤウ					122.1		一生
30-023-02	唯信抄_西本願寺	1487	693	生	生	一生	一生			2	2	去	入去	シヤウ	＊シヤウ					122.1		一生
30-023-02	唯信抄_西本願寺	1488	694	正	正	正義	正義			1	2	平	平平濁	シヤウ	シヤウキ					122.2		正義
30-023-02	唯信抄_西本願寺	1489	694	義	義	正義	正義			2	1	平濁	平平濁	キ	シヤウキ					122.2		正義
30-023-02	唯信抄_西本願寺	1490	695	要	要	要義	要義			1	2	平	平平濁	エウ	エウキ					122.3		要義
30-023-02	唯信抄_西本願寺	1491	695	義	義	要義	要義			2	1	平濁	平平濁	キ	エウキ					122.3		要義
30-023-02	唯信抄_西本願寺	1492	696	略	略	略	略シテ			1	2	入	入	リヤク	リヤク					122.4		略
30-023-02	唯信抄_西本願寺	1493	697	信	信	信謗	信謗			1	2	平	平平	シン	シンハウ					123.2		信謗
30-023-02	唯信抄_西本願寺	1494	697	謗	謗	信謗	信謗			2	2	平	平平	ハウ	シンハウ					123.2		信謗
30-023-02	唯信抄_西本願寺	1495	698	因	因	因	因			1	2	去	去	イン	イン					123.2		因
30-023-02	唯信抄_西本願寺	1496	699	淨	淨	淨土	淨土			1	2			シヤウ	シヤウト					123.3		淨土
30-023-02	唯信抄_西本願寺	1497	699	土	土	淨土	淨土			2	1			ト	シヤウト					123.3		淨土
30-023-02	唯信抄_西本願寺	1498	700	今	今	今生	今生			1	2	去	去上濁	コム	コムシヤウ					123.3		今生
30-023-02	唯信抄_西本願寺	1499	700	生	生	今生	今生			2	2	上濁	去上濁	シヤウ	コムシヤウ					123.3		今生
30-023-02	唯信抄_西本願寺	1500	701	來	来	來世	来世			1	2			ライ	ライセ					123.4		来世
30-023-02	唯信抄_西本願寺	1501	701	世	世	來世	来世			2	1			セ	ライセ					123.4		来世
30-023-02	唯信抄_西本願寺	1502	702	縁	縁	縁	縁			1	2	去	去	エン	エン					123.5		縁
30-023-02	唯信抄_西本願寺	1503	703	生	生	生生	生生			1	2	去	去上濁	シヤウ	シヤウ＊					124.2		生生
30-023-02	唯信抄_西本願寺	1504	703	生	生	生生	生生			2	2	上濁	去上濁		シヤウ＊					124.2		生生
30-023-02	唯信抄_西本願寺	1505	704	善	善	善友	善友			1	2	平濁	平濁上	セン	センウ					124.2		善友
30-023-02	唯信抄_西本願寺	1506	704	友	友	善友	善友			2	1	上	平濁上	ウ	センウ					124.2		善友
30-023-02	唯信抄_西本願寺	1507	705	佛	佛	佛道	佛道			1	1	入濁	入濁平濁	フチ	フチタウ					124.3		佛道
30-023-02	唯信抄_西本願寺	1508	705	道	道	佛道	佛道			2	2	平濁	入濁平濁	タウ	フチタウ					124.3		佛道
30-023-02	唯信抄_西本願寺	1509	706	修	修	修	修セシメ			1	1	上	上	シユ	シユ					124.3		修
30-023-02	唯信抄_西本願寺	1510	707	世	世	世世	世世			1	1	平	平平	セ	セ＊					124.4		世世
30-023-02	唯信抄_西本願寺	1511	707	世	世	世世	世世			2	1	平	平平		セ＊					124.4		世世
30-023-02	唯信抄_西本願寺	1512	708	知	知	知識	知識			1	1	上	上入	チ	チシキ					124.4		知識
30-023-02	唯信抄_西本願寺	1513	708	識	識	知識	知識			2	2	入	上入	シキ	チシキ					124.4		知識
30-023-02	唯信抄_西本願寺	1514	709	迷	迷	迷執	迷執			1	2	去	去入	メイ	メイシフ					124.4		迷執
30-023-02	唯信抄_西本願寺	1515	709	執	執	迷執	迷執			2	2	入	去入	シフ	メイシフ					124.5		迷執
30-023-02	唯信抄_西本願寺	1516	710	本	本	本師釋迦尊	本師釋迦尊			1	2	平	平上濁平上上	ホン	ホンシシヤカソン					125.1		本師釋迦尊
30-023-02	唯信抄_西本願寺	1517	710	師	師	本師釋迦尊	本師釋迦尊			2	1	上濁	平上濁平上上	シ	ホンシシヤカソン					125.1		本師釋迦尊
30-023-02	唯信抄_西本願寺	1518	710	釋	釋	本師釋迦尊	本師釋迦尊			3	1	平	平上濁平上上	シヤ	ホンシシヤカソン					125.1		本師釋迦尊
30-023-02	唯信抄_西本願寺	1519	710	迦	迦	本師釋迦尊	本師釋迦尊			4	1	上	平上濁平上上	カ	ホンシシヤカソン					125.1		本師釋迦尊
30-023-02	唯信抄_西本願寺	1520	710	尊	尊	本師釋迦尊	本師釋迦尊			5	2	上	平上濁平上上	ソン	ホンシシヤカソン					125.1		本師釋迦尊
30-023-02	唯信抄_西本願寺	1521	711	悲	悲	悲母彌陀佛	悲母彌陀佛			1	1	上	上平上上濁入濁	ヒ	ヒモミタフチ					125.1		悲母彌陀佛
30-023-02	唯信抄_西本願寺	1522	711	母	母	悲母彌陀佛	悲母彌陀佛			2	1	平	上平上上濁入濁	モ	ヒモミタフチ					125.1		悲母彌陀佛
30-023-02	唯信抄_西本願寺	1523	711	彌	彌	悲母彌陀佛	悲母彌陀佛			3	1	上	上平上上濁入濁	ミ	ヒモミタフチ					125.1		悲母彌陀佛
