資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考	単字_alphabet
50-055-01	ドチリーナ・キリシタン_東洋文庫	3940	2317	固	固	堅固	堅固	qengo		2				ゴ	ケンゴ					111l-15	バチカン本対応箇所なし	go
50-055-01	ドチリーナ・キリシタン_東洋文庫	3941	2318	凶	凶	凶惡	凶惡	qeôacu		1				ケゥ	ケゥアク					111l-17	バチカン本対応箇所なし	qeô
50-055-01	ドチリーナ・キリシタン_東洋文庫	3942	2318	惡	惡	凶惡	凶惡	qeôacu		2				アク	ケゥアク					111l-17	バチカン本対応箇所なし	acu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3943	2319	惡	惡	惡	惡	acu		1				アク	アク					111l-17	バチカン本対応箇所なし	acu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3944	2320	交	交	交會	交會	qeôquai		1				ケゥ	ケゥクヮイ					111l-19	バチカン本対応箇所なし	qeô
50-055-01	ドチリーナ・キリシタン_東洋文庫	3945	2320	會	會	交會	交會	qeôquai		2				クヮイ	ケゥクヮイ					111l-19	バチカン本対応箇所なし	quai
50-055-01	ドチリーナ・キリシタン_東洋文庫	3946	2321	虚	虛	虚言	虛言	qiogon		1				キョ	キョゴン					111l-21	バチカン本対応箇所なし	qio
50-055-01	ドチリーナ・キリシタン_東洋文庫	3947	2321	言	言	虚言	虛言	qiogon		2				ゴン	キョゴン					111l-21	バチカン本対応箇所なし	gon
50-055-01	ドチリーナ・キリシタン_東洋文庫	3948	2322	饑	饑	饑渴	饑渇	qicat		1				キ	キカっ					111l-23	バチカン本対応箇所なし	qi
50-055-01	ドチリーナ・キリシタン_東洋文庫	3949	2322	渴	渇	饑渴	饑渇	qicat		2				カっ	キカっ					111l-23	バチカン本対応箇所なし	cat
50-055-01	ドチリーナ・キリシタン_東洋文庫	3950	2323	吉	吉	吉事	吉事	qichiji		1				キチ	キチジ					111l-25	バチカン本対応箇所なし	qichi
50-055-01	ドチリーナ・キリシタン_東洋文庫	3951	2323	事	事	吉事	吉事	qichiji		2				ジ	キチジ					111l-25	バチカン本対応箇所なし	ji
50-055-01	ドチリーナ・キリシタン_東洋文庫	3952	2324	規	規	規則	規則	qisocu		1				キ	キソク					111l-27	バチカン本対応箇所なし	qi
50-055-01	ドチリーナ・キリシタン_東洋文庫	3953	2324	則	則	規則	規則	qisocu		2				ソク	キソク					111l-27	バチカン本対応箇所なし	socu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3954	2325	法	法	法度	法度	fatto		1				ハッ	ハット					111l-27	バチカン本対応箇所なし	fat
50-055-01	ドチリーナ・キリシタン_東洋文庫	3955	2325	度	度	法度	法度	fatto		2				ト	ハット					111l-27	バチカン本対応箇所なし	to
50-055-01	ドチリーナ・キリシタン_東洋文庫	3956	2326	氣	氣	氣違ひ	氣違ひ	qitagai	混種語	1				キ	キタガイ					111l-28	バチカン本対応箇所なし	qi
50-055-01	ドチリーナ・キリシタン_東洋文庫	3957	2327	氣	氣	氣	氣	qi		1				キ	キ					111l-28	バチカン本対応箇所なし	qi
50-055-01	ドチリーナ・キリシタン_東洋文庫	3958	2328	糾	糺	糾明	糺明	qiǔmei		1				キュゥ	キュゥメイ					111l-30	バチカン本対応箇所なし	qiǔ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3959	2328	明	明	糾明	糺明	qiǔmei		2				メイ	キュゥメイ					111l-30	バチカン本対応箇所なし	mei
50-055-01	ドチリーナ・キリシタン_東洋文庫	3960	2329	廣	廣	廣大	廣大	quǒdai		1				クヮゥ	クヮゥダイ					111l-32	バチカン本対応箇所なし	quǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3961	2329	大	大	廣大	廣大	quǒdai		2				ダイ	クヮゥダイ					111l-32	バチカン本対応箇所なし	dai
50-055-01	ドチリーナ・キリシタン_東洋文庫	3962	2330	禮	禮	禮拜する	禮拜する	raifai suru	混種語	1				ライ	ライハイスル					111r-02	バチカン本対応箇所なし	rai
50-055-01	ドチリーナ・キリシタン_東洋文庫	3963	2330	拜	拜	禮拜する	禮拜する	raifai suru	混種語	2				ハイ	ライハイスル					111r-02	バチカン本対応箇所なし	fai
50-055-01	ドチリーナ・キリシタン_東洋文庫	3964	2331	亂	亂	亂行	亂行	ranguiǒ		1				ラン	ランギャゥ					111r-03	バチカン本対応箇所なし	ran
50-055-01	ドチリーナ・キリシタン_東洋文庫	3965	2331	行	行	亂行	亂行	ranguiǒ		2				ギャゥ	ランギャゥ					111r-03	バチカン本対応箇所なし	guiǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3966	2332	行	行	行儀	行儀	guiǒgui		1				ギャゥ	ギャゥギ					111r-04	バチカン本対応箇所なし	guiǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3967	2332	儀	儀	行儀	行儀	guiǒgui		2				ギ	ギャゥギ					111r-04	バチカン本対応箇所なし	gui
50-055-01	ドチリーナ・キリシタン_東洋文庫	3968	2333	戀	戀	戀慕	戀慕	renbo		1				レン	レンボ					111r-05	バチカン本対応箇所なし	ren
50-055-01	ドチリーナ・キリシタン_東洋文庫	3969	2333	慕	慕	戀慕	戀慕	renbo		2				ボ	レンボ					111r-05	バチカン本対応箇所なし	bo
50-055-01	ドチリーナ・キリシタン_東洋文庫	3970	2334	歷	歷	歷然	歷然	reqijen		1				レキ	レキゼン					111r-07	バチカン本対応箇所なし	reqi
50-055-01	ドチリーナ・キリシタン_東洋文庫	3971	2334	然	然	歷然	歷然	reqijen		2				ゼン	レキゼン					111r-07	バチカン本対応箇所なし	jen
50-055-01	ドチリーナ・キリシタン_東洋文庫	3972	2335	臨	臨	臨終	臨終	rinju		1				リン	リンジュ					111r-08	バチカン本対応箇所なし	rin
50-055-01	ドチリーナ・キリシタン_東洋文庫	3973	2335	終	終	臨終	臨終	rinju		2				ジュ	リンジュ					111r-08	バチカン本対応箇所なし	ju
50-055-01	ドチリーナ・キリシタン_東洋文庫	3974	2336	良	良	良藥	良藥	rǒyacu		1				ラゥ	ラゥヤク					111r-10	バチカン本対応箇所なし	rǒ
50-055-01	ドチリーナ・キリシタン_東洋文庫	3975	2336	藥	藥	良藥	良藥	rǒyacu		2				ヤク	ラゥヤク					111r-10	バチカン本対応箇所なし	yacu
50-055-01	ドチリーナ・キリシタン_東洋文庫	3976	2337	流	流	流人	流人	runin		1				ル	ルニン					111r-12	バチカン本対応箇所なし	ru
50-055-01	ドチリーナ・キリシタン_東洋文庫	3977	2337	人	人	流人	流人	runin		2				ニン	ルニン					111r-12	バチカン本対応箇所なし	nin
50-055-01	ドチリーナ・キリシタン_東洋文庫	3978	2338	濟	濟	濟度	濟度	saido		1				サイ	サイド					111r-15	バチカン本対応箇所なし	sai
