資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	位置	単字長	声点	声点型	仮名	仮名型	反切	類音注	節博士	その他	出現位置	備考	推定語形
60-028-01	平曲譜本	150	89	日	日	一日	一ﾁ日も			2								上上コ××	HHHL	8上冨士9-4口説		いちにち
60-028-01	平曲譜本	151	90	一	一	一日	一ﾁ日も			1								上上コ××	HHHL	15下臣誅10-1口説		いちにち
60-028-01	平曲譜本	152	90	日	日	一日	一ﾁ日も			2								上上コ××	HHHL	15下臣誅10-1口説		いちにち
60-028-01	平曲譜本	153	91	一	一	一人	壱人			1								上×××	HLLL	2下征夷10-1素声		いちにん
60-028-01	平曲譜本	154	91	人	人	一人	壱人			2								上×××	HLLL	2下征夷10-1素声		いちにん
60-028-01	平曲譜本	155	92	一	一	一人	壱人			1								コ×××	HLLL	2上足摺2-4口説		いちにん
60-028-01	平曲譜本	156	92	人	人	一人	壱人			2								コ×××	HLLL	2上足摺2-4口説		いちにん
60-028-01	平曲譜本	157	93	一	一	一人	一人			1								上中中中	HLLL	14下小宰6-5指声		いちにん
60-028-01	平曲譜本	158	93	人	人	一人	一人			2								上中中中	HLLL	14下小宰6-5指声		いちにん
60-028-01	平曲譜本	159	94	一	一	一人	一人			1								上中中中	HLLL	替句栄花2-5指声		いちにん
60-028-01	平曲譜本	160	94	人	人	一人	一人			2								上中中中	HLLL	替句栄花2-5指声		いちにん
60-028-01	平曲譜本	161	95	一	一	一人	一人			1								上×××	HLLL	1上卒都14-1口説		いちにん
60-028-01	平曲譜本	162	95	人	人	一人	一人			2								上×××	HLLL	1上卒都14-1口説		いちにん
60-028-01	平曲譜本	163	96	一	一	一人	一人			1								上×××	HLLL	4上信連38-5口説		いちにん
60-028-01	平曲譜本	164	96	人	人	一人	一人			2								上×××	HLLL	4上信連38-5口説		いちにん
60-028-01	平曲譜本	165	97	一	一	一人	一人			1								上×××	HLLL	5下二魁25-2素声		いちにん
60-028-01	平曲譜本	166	97	人	人	一人	一人			2								上×××	HLLL	5下二魁25-2素声		いちにん
60-028-01	平曲譜本	167	98	一	一	一人	一人			1								上×××	HLLL	7上法遷12-1白声		いちにん
60-028-01	平曲譜本	168	98	人	人	一人	一人			2								上×××	HLLL	7上法遷12-1白声		いちにん
60-028-01	平曲譜本	169	99	一	一	一人	一人			1								上×××	HLLL	7上法遷21-2口説		いちにん
60-028-01	平曲譜本	170	99	人	人	一人	一人			2								上×××	HLLL	7上法遷21-2口説		いちにん
60-028-01	平曲譜本	171	100	一	一	一人	一人			1								上×××	HLLL	7下弓流4-2白声		いちにん
60-028-01	平曲譜本	172	100	人	人	一人	一人			2								上×××	HLLL	7下弓流4-2白声		いちにん
60-028-01	平曲譜本	173	101	一	一	一人	一人			1								上×××	HLLL	7下弓流4-2白声		いちにん
60-028-01	平曲譜本	174	101	人	人	一人	一人			2								上×××	HLLL	7下弓流4-2白声		いちにん
60-028-01	平曲譜本	175	102	一	一	一人	一人			1								上×××	HLLL	7下弓流4-3白声		いちにん
60-028-01	平曲譜本	176	102	人	人	一人	一人			2								上×××	HLLL	7下弓流4-3白声		いちにん
60-028-01	平曲譜本	177	103	一	一	一人	一人			1								上×××	HLLL	8上禿童8-4素声		いちにん
60-028-01	平曲譜本	178	103	人	人	一人	一人			2								上×××	HLLL	8上禿童8-4素声		いちにん
60-028-01	平曲譜本	179	104	一	一	一人	一人			1								上×××	HLLL	8下能登26-5白声		いちにん
60-028-01	平曲譜本	180	104	人	人	一人	一人			2								上×××	HLLL	8下能登26-5白声		いちにん
60-028-01	平曲譜本	181	105	一	一	一人	一人			1								上×××	HLLL	9下大坂4-4白声		いちにん
60-028-01	平曲譜本	182	105	人	人	一人	一人			2								上×××	HLLL	9下大坂4-4白声		いちにん
60-028-01	平曲譜本	183	106	一	一	一人	一人			1								上×××	HLLL	13下瀬尾34-2素声		いちにん
60-028-01	平曲譜本	184	106	人	人	一人	一人			2								上×××	HLLL	13下瀬尾34-2素声		いちにん
60-028-01	平曲譜本	185	107	一	一	一人	一人			1								上×××	HLLL	15下勝浦7-5素声		いちにん
60-028-01	平曲譜本	186	107	人	人	一人	一人			2								上×××	HLLL	15下勝浦7-5素声		いちにん
60-028-01	平曲譜本	187	108	一	一	一人	一人			1								上×××	HLLL	小秘延喜13-3口説		いちにん
60-028-01	平曲譜本	188	108	人	人	一人	一人			2								上×××	HLLL	小秘延喜13-3口説		いちにん
60-028-01	平曲譜本	189	109	一	一	一人	一人			1								コ×××	HLLL	2上蘇武6-3口説		いちにん
60-028-01	平曲譜本	190	109	人	人	一人	一人			2								コ×××	HLLL	2上蘇武6-3口説		いちにん
60-028-01	平曲譜本	191	110	一	一	一人	一人			1								コ×××	HLLL	3下忠落1-4口説		いちにん
60-028-01	平曲譜本	192	110	人	人	一人	一人			2								コ×××	HLLL	3下忠落1-4口説		いちにん
60-028-01	平曲譜本	193	111	一	一	一人	一人			1								コ×××	HLLL	6上納流3-5口説		いちにん
60-028-01	平曲譜本	194	111	人	人	一人	一人			2								コ×××	HLLL	6上納流3-5口説		いちにん
60-028-01	平曲譜本	195	112	一	一	一人	一人			1								コ×××	HLLL	6上五節4-3口説		いちにん
60-028-01	平曲譜本	196	112	人	人	一人	一人			2								コ×××	HLLL	6上五節4-3口説		いちにん
60-028-01	平曲譜本	197	113	一	一	一人	一人			1								コ×××	HLLL	6下木最3-1口説		いちにん
60-028-01	平曲譜本	198	113	人	人	一人	一人			2								コ×××	HLLL	6下木最3-1口説		いちにん
60-028-01	平曲譜本	199	114	一	一	一人	一人			1								コ×××	HLLL	7上栄花15-5口説		いちにん
60-028-01	平曲譜本	200	114	人	人	一人	一人			2								コ×××	HLLL	7上栄花15-5口説		いちにん
60-028-01	平曲譜本	201	115	一	一	一人	一人			1								コ×××	HLLL	7上栄花16-3口説		いちにん
60-028-01	平曲譜本	202	115	人	人	一人	一人			2								コ×××	HLLL	7上栄花16-3口説		いちにん
60-028-01	平曲譜本	203	116	一	一	一人	一人			1								コ×××	HLLL	8上橋合12-5口説		いちにん
60-028-01	平曲譜本	204	116	人	人	一人	一人			2								コ×××	HLLL	8上橋合12-5口説		いちにん
60-028-01	平曲譜本	205	117	一	一	一人	一人			1								コ×××	HLLL	8上橋合13-5口説		いちにん
60-028-01	平曲譜本	206	117	人	人	一人	一人			2								コ×××	HLLL	8上橋合13-5口説		いちにん
